Tempo (s),PWM,Temperatura (ºC)
601,127,14.6627566
602,127,15.15151515
603,127,15.6402737
604,127,15.15151515
605,127,15.15151515
606,127,15.15151515
607,127,15.15151515
608,127,15.15151515
609,127,15.6402737
610,127,15.15151515
611,127,15.15151515
612,127,15.15151515
614,127,15.15151515
615,127,15.6402737
616,127,14.6627566
617,127,15.15151515
618,127,15.15151515
619,127,15.6402737
620,127,15.15151515
621,127,15.6402737
622,127,15.15151515
623,127,15.15151515
624,127,15.6402737
625,127,15.6402737
626,127,15.15151515
627,127,15.6402737
628,127,15.15151515
629,127,15.15151515
630,127,15.15151515
632,127,14.6627566
633,127,14.6627566
634,127,15.15151515
635,127,14.6627566
636,127,15.15151515
637,127,15.15151515
638,127,14.6627566
639,127,14.6627566
640,127,15.15151515
641,127,15.15151515
642,127,15.15151515
643,127,15.6402737
644,127,15.15151515
645,127,14.6627566
646,127,15.15151515
647,127,15.15151515
648,127,15.15151515
650,127,14.6627566
651,127,15.15151515
652,127,15.15151515
653,127,15.15151515
654,127,15.6402737
655,127,14.6627566
656,127,15.15151515
657,127,15.15151515
658,127,15.6402737
659,127,15.15151515
660,127,15.6402737
661,127,15.6402737
662,127,15.15151515
663,127,15.15151515
664,127,15.15151515
665,127,14.6627566
666,127,14.6627566
667,127,14.6627566
669,127,15.15151515
670,127,15.15151515
671,127,15.15151515
672,127,15.15151515
673,127,15.15151515
674,127,14.6627566
675,127,14.6627566
676,127,15.15151515
677,127,15.6402737
678,127,15.6402737
679,127,15.15151515
680,127,15.6402737
681,127,15.15151515
682,127,15.6402737
683,127,15.6402737
684,127,15.15151515
685,127,15.6402737
687,127,15.15151515
688,127,15.6402737
689,127,15.6402737
690,127,15.6402737
691,127,15.6402737
692,127,15.15151515
693,127,15.6402737
694,127,15.6402737
695,127,15.15151515
696,127,15.15151515
697,127,14.6627566
698,127,15.6402737
699,127,15.6402737
700,127,15.15151515
701,127,15.15151515
702,127,15.15151515
703,127,15.6402737
704,127,15.15151515
706,127,15.15151515
707,127,15.6402737
708,127,15.6402737
709,127,15.6402737
710,127,15.15151515
711,127,15.6402737
712,127,15.6402737
713,127,15.15151515
714,127,15.15151515
715,127,15.15151515
716,127,15.6402737
717,127,15.6402737
718,127,15.6402737
719,127,15.15151515
720,127,15.15151515
721,127,15.6402737
722,127,15.15151515
723,127,15.15151515
725,127,15.6402737
726,127,15.15151515
727,127,15.6402737
728,127,15.6402737
729,127,15.6402737
730,127,15.6402737
731,127,15.6402737
732,127,15.6402737
